collection,date,num_tweets,positive_avg,negative_avg
petrobras,2014-07-11T16:00:00,0,0.00,0.00
petrobras,2014-07-12T00:00:00,0,0.00,0.00
petrobras,2014-07-12T08:00:00,0,0.00,0.00
petrobras,2014-07-12T16:00:00,0,0.00,0.00
petrobras,2014-07-13T00:00:00,1,0.10,0.00
petrobras,2014-07-13T08:00:00,0,0.00,0.00
petrobras,2014-07-13T16:00:00,0,0.00,0.00
petrobras,2014-07-14T00:00:00,0,0.00,0.00
petrobras,2014-07-14T08:00:00,2,0.00,0.30
petrobras,2014-07-14T16:00:00,0,0.00,0.00
petrobras,2014-07-15T00:00:00,0,0.00,0.00
petrobras,2014-07-15T08:00:00,0,0.00,0.00
petrobras,2014-07-15T16:00:00,0,0.00,0.00
petrobras,2014-07-16T00:00:00,0,0.00,0.00
petrobras,2014-07-16T08:00:00,0,0.00,0.00
petrobras,2014-07-16T16:00:00,0,0.00,0.00
petrobras,2014-07-17T00:00:00,0,0.00,0.00
petrobras,2014-07-17T08:00:00,0,0.00,0.00
petrobras,2014-07-17T16:00:00,0,0.00,0.00
petrobras,2014-07-18T00:00:00,0,0.00,0.00
petrobras,2014-07-18T08:00:00,0,0.00,0.00
petrobras,2014-07-18T16:00:00,0,0.00,0.00
petrobras,2014-07-19T00:00:00,0,0.00,0.00
petrobras,2014-07-19T08:00:00,0,0.00,0.00
petrobras,2014-07-19T16:00:00,0,0.00,0.00
petrobras,2014-07-20T00:00:00,0,0.00,0.00
petrobras,2014-07-20T08:00:00,0,0.00,0.00
petrobras,2014-07-20T16:00:00,0,0.00,0.00
petrobras,2014-07-21T00:00:00,0,0.00,0.00
petrobras,2014-07-21T08:00:00,5,0.00,0.00
petrobras,2014-07-21T16:00:00,0,0.00,0.00
petrobras,2014-07-22T00:00:00,0,0.00,0.00
petrobras,2014-07-22T08:00:00,0,0.00,0.00
petrobras,2014-07-22T16:00:00,0,0.00,0.00
petrobras,2014-07-23T00:00:00,0,0.00,0.00
petrobras,2014-07-23T08:00:00,0,0.00,0.00
petrobras,2014-07-23T16:00:00,4,0.00,0.20
petrobras,2014-07-24T00:00:00,0,0.00,0.00
petrobras,2014-07-24T08:00:00,0,0.00,0.00
petrobras,2014-07-24T16:00:00,0,0.00,0.00
petrobras,2014-07-25T00:00:00,0,0.00,0.00
petrobras,2014-07-25T08:00:00,0,0.00,0.00
petrobras,2014-07-25T16:00:00,0,0.00,0.00
petrobras,2014-07-26T00:00:00,1,0.00,0.00
petrobras,2014-07-26T08:00:00,1,0.10,0.00
petrobras,2014-07-26T16:00:00,0,0.00,0.00
petrobras,2014-07-27T00:00:00,0,0.00,0.00
petrobras,2014-07-27T08:00:00,0,0.00,0.00
petrobras,2014-07-27T16:00:00,0,0.00,0.00
petrobras,2014-07-28T00:00:00,0,0.00,0.00
petrobras,2014-07-28T08:00:00,0,0.00,0.00
petrobras,2014-07-28T16:00:00,0,0.00,0.00
petrobras,2014-07-29T00:00:00,0,0.00,0.00
petrobras,2014-07-29T08:00:00,0,0.00,0.00
petrobras,2014-07-29T16:00:00,0,0.00,0.00
